,reactionId,compartment,r ; p,ratelaw
141,vTL140,Cytoplasm,; cyt_prot__INSR_,kTL140_1*cyt_mrna__INSR_201_*(cyt_prot__IF4E_/(kTL140_2+cyt_prot__IF4E_))
142,vTL141,Cytoplasm,; exc_prot__INS_,kTL141_1*cyt_mrna__INS_202_*(cyt_prot__IF4E_/(kTL141_2+cyt_prot__IF4E_))
143,vTLCd1,Nucleus,nuc_prot_i__P53_ ;,kTLCd1_1*nuc_prot_i__P53_
144,vTLCd2,Nucleus,nuc_prot__MDM2_ ;,kTLCd2_1*nuc_prot__MDM2_
145,vTLCd3,Nucleus,nuc_prot__PPM1D_ ;,kTLCd3_1*nuc_prot__PPM1D_
146,vTLCd4,Nucleus,nuc_prot__BRCA2_ ;,kTLCd4_1*nuc_prot__BRCA2_
147,vTLCd5,Nucleus,nuc_prot__MSH6_ ;,kTLCd5_1*nuc_prot__MSH6_
148,vTLCd6,Nucleus,nuc_prot__MGMT_ ;,kTLCd6_1*nuc_prot__MGMT_
149,vTLCd7,Nucleus,nuc_prot__ARF_ ;,kTLCd7_1*nuc_prot__ARF_
150,vTLCd8,Nucleus,nuc_prot__MDM4_ ;,kTLCd8_1*nuc_prot__MDM4_
151,vTLCd9,Nucleus,nuc_prot_i__ATM_ ;,kTLCd9_1*nuc_prot_i__ATM_
152,vTLCd10,Nucleus,nuc_prot_i__ATR_ ;,kTLCd10_1*nuc_prot_i__ATR_
153,vTLCd11,Nucleus,nuc_prot__RB_ ;,kTLCd11_1*nuc_prot__RB_
154,vTLCd12,Nucleus,nuc_cong__E2F_ ;,kTLCd12_1*nuc_cong__E2F_
155,vTLCd13,Nucleus,nuc_cong__CCND_ ;,kTLCd13_1*nuc_cong__CCND_
156,vTLCd14,Nucleus,nuc_cong__CCNE_ ;,kTLCd14_1*nuc_cong__CCNE_
157,vTLCd15,Nucleus,nuc_prot__SKP2_ ;,kTLCd15_1*nuc_prot__SKP2_
